category,title,author,year,isbn
Science Fiction,Dark Matter,Blake Crouch,2016,9781101904220
Science Fiction,Station Eleven,Emily St. John Mandel,2014,9780804172448
Science Fiction,Neuromancer,William Gibson,1984,9780441569595
Science Fiction,Red Rising,Pierce Brown,2014,9780345539809
Science Fiction,The Ministry of Time,Kaliane Bradley,2024,9781668045145
Science Fiction,Ready Player One,Ernest Cline,2011,9780307887443
Science Fiction,Snow Crash,Neal Stephenson,1992,9780553380958
Science Fiction,All Systems Red,Martha Wells,2017,9780765397539
Science Fiction,The Left Hand of Darkness,Ursula K. Le Guin,1969,9780441478125
Science Fiction,Hyperion,Dan Simmons,1989,9780553283686
Science Fiction,Do Androids Dream of Electric Sheep?,Philip K. Dick,1968,9780345404473
Science Fiction,A Memory Called Empire,Arkady Martine,2019,9781250186430
Science Fiction,"The Long Way to a Small, Angry Planet",Becky Chambers,2014,9780062444134
Fantasy,The Hobbit,J.R.R. Tolkien,1937,9780547928227
Fantasy,Fourth Wing,Rebecca Yarros,2023,9781649374042
Fantasy,The Fellowship of the Ring,J.R.R. Tolkien,1954,9780547928210
Fantasy,A Game of Thrones,George R.R. Martin,1996,9780553593716
Fantasy,Iron Flame,Rebecca Yarros,2023,9781649374172
Fantasy,Onyx Storm,Rebecca Yarros,2025,
Fantasy,The Name of the Wind,Patrick Rothfuss,2007,9780756404741
Fantasy,Circe,Madeline Miller,2018,9780316556347
Fantasy,The Song of Achilles,Madeline Miller,2011,9780062060624
Fantasy,Mistborn: The Final Empire,Brandon Sanderson,2006,9780765350381
Fantasy,The Way of Kings,Brandon Sanderson,2010,9780765365279
Fantasy,A Court of Thorns and Roses,Sarah J. Maas,2015,9781635575569
Fantasy,Babel,R.F. Kuang,2022,9780063021426
Fantasy,The Night Circus,Erin Morgenstern,2011,9780307744432
Fantasy,Good Omens,Terry Pratchett and Neil Gaiman,1990,9780060853983
Fantasy,The House in the Cerulean Sea,TJ Klune,2020,9781250217288
Fantasy,Piranesi,Susanna Clarke,2020,9781635575637
Fantasy,Wind and Truth,Brandon Sanderson,2024,9781250368287
Fantasy,Legends & Lattes,Travis Baldree,2022,9781250886088
Fantasy,The Priory of the Orange Tree,Samantha Shannon,2019,9781635570298
Classics,Pride and Prejudice,Jane Austen,1813,9780141439518
Classics,Nineteen Eighty-Four,George Orwell,1949,9780451524935
Classics,To Kill a Mockingbird,Harper Lee,1960,9780061120084
Classics,The Great Gatsby,F. Scott Fitzgerald,1925,9780743273565
Classics,The Catcher in the Rye,J.D. Salinger,1951,9780316769488
Classics,Animal Farm,George Orwell,1945,9780451526342
Classics,Jane Eyre,Charlotte Brontë,1847,9780141441146
Classics,Brave New World,Aldous Huxley,1932,9780060850524
Classics,Fahrenheit 451,Ray Bradbury,1953,9781451673319
Classics,The Handmaid's Tale,Margaret Atwood,1985,9780385490818
Classics,Frankenstein,Mary Shelley,1818,9780141439471
Classics,Of Mice and Men,John Steinbeck,1937,9780140177398
Classics,Wuthering Heights,Emily Brontë,1847,9780141439556
Classics,One Hundred Years of Solitude,Gabriel García Márquez,1967,9780060883287
Classics,Crime and Punishment,Fyodor Dostoevsky,1866,9780679734505
Classics,Lord of the Flies,William Golding,1954,9780399501487
Classics,Slaughterhouse-Five,Kurt Vonnegut,1969,9780385333849
Classics,The Stranger,Albert Camus,1942,9780679720201
Classics,Beloved,Toni Morrison,1987,9781400033416
Classics,Anna Karenina,Leo Tolstoy,1878,9780143035008
Young Adult,The Hunger Games,Suzanne Collins,2008,9780439023528
Young Adult,Sunrise on the Reaping,Suzanne Collins,2025,9781546171461
Young Adult,The Fault in Our Stars,John Green,2012,9780142424179
Young Adult,The Book Thief,Markus Zusak,2005,9780375842207
Young Adult,A Good Girl's Guide to Murder,Holly Jackson,2019,9798217116775
Young Adult,Six of Crows,Leigh Bardugo,2015,9781627792127
Young Adult,The Giver,Lois Lowry,1993,9780544336261
Young Adult,Catching Fire,Suzanne Collins,2009,9780439023498
Young Adult,The Ballad of Songbirds and Snakes,Suzanne Collins,2020,9781338635171
Young Adult,Twilight,Stephenie Meyer,2005,9780316015844
Young Adult,The Hate U Give,Angie Thomas,2017,9780062498533
Young Adult,Divergent,Veronica Roth,2011,9780062024039
Young Adult,The Perks of Being a Wallflower,Stephen Chbosky,1999,9781451696196
Young Adult,Mockingjay,Suzanne Collins,2010,9780439023511
Young Adult,They Both Die at the End,Adam Silvera,2017,9780062457790
Young Adult,We Were Liars,E. Lockhart,2014,9780385741262
Young Adult,The Cruel Prince,Holly Black,2018,9780316310277
Young Adult,Looking for Alaska,John Green,2005,9780142402511
Young Adult,The Outsiders,S.E. Hinton,1967,9780142407332
Young Adult,Children of Blood and Bone,Tomi Adeyemi,2018,9781250170972
Young Adult,The Maze Runner,James Dashner,2009,9780385737951
Children,Harry Potter and the Sorcerer's Stone,J.K. Rowling,1997,9780590353427
Children,Diary of a Wimpy Kid,Jeff Kinney,2007,9780810993136
Children,The Very Hungry Caterpillar,Eric Carle,1969,9780399226908
Children,Dog Man,Dav Pilkey,2016,9780545581608
Children,Harry Potter and the Chamber of Secrets,J.K. Rowling,1998,9780439064873
Children,The Gruffalo,Julia Donaldson,1999,9780142403877
Children,Charlotte's Web,E.B. White,1952,9780064400558
Children,The Wild Robot,Peter Brown,2016,9780316381994
Children,Matilda,Roald Dahl,1988,9780142410370
Children,Where the Wild Things Are,Maurice Sendak,1963,9780060254926
Children,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,1999,9780439136365
Children,Wonder,R.J. Palacio,2012,9780375869020
Children,The Lightning Thief,Rick Riordan,2005,9780786838653
Children,Charlie and the Chocolate Factory,Roald Dahl,1964,9780142410318
Children,Green Eggs and Ham,Dr. Seuss,1960,9780394800165
Children,The Day the Crayons Quit,Drew Daywalt,2013,9780399255373
Children,The Cat in the Hat,Dr. Seuss,1957,9780394800011
Children,Diary of a Wimpy Kid: Hot Mess,Jeff Kinney,2024,
Children,"The Lion, the Witch and the Wardrobe",C.S. Lewis,1950,9780064404990
Children,Goodnight Moon,Margaret Wise Brown,1947,9780064430173
Children,Holes,Louis Sachar,1998,9780440414803
Children,The Tale of Peter Rabbit,Beatrix Potter,1902,9780723247708
Biography,Educated,Tara Westover,2018,9780399590504
Biography,Becoming,Michelle Obama,2018,9781524763138
Biography,Steve Jobs,Walter Isaacson,2011,9781451648539
Biography,Born a Crime,Trevor Noah,2016,9780399588198
Biography,Shoe Dog,Phil Knight,2016,9781501135910
Biography,Spare,Prince Harry,2023,9780593593806
Biography,The Glass Castle,Jeannette Walls,2005,9780743247542
Biography,Elon Musk,Walter Isaacson,2023,9781982181284
Biography,I'm Glad My Mom Died,Jennette McCurdy,2022,9781982185824
Biography,When Breath Becomes Air,Paul Kalanithi,2016,9780812988406
Biography,Crying in H Mart,Michelle Zauner,2021,9780525657743
Biography,Long Walk to Freedom,Nelson Mandela,1994,9780316548182
Biography,Einstein: His Life and Universe,Walter Isaacson,2007,9780743264730
Biography,Into the Wild,Jon Krakauer,1996,9780385486804
Biography,Careless People,Sarah Wynn-Williams,2025,9781250403155
Biography,Alexander Hamilton,Ron Chernow,2004,9780143034759
Biography,I Know Why the Caged Bird Sings,Maya Angelou,1969,9780345514400
Biography,Leonardo da Vinci,Walter Isaacson,2017,9781501139154
Biography,Into Thin Air,Jon Krakauer,1997,9780385494786
Biography,The Autobiography of Malcolm X,Malcolm X and Alex Haley,1965,9780345350688
History,Sapiens: A Brief History of Humankind,Yuval Noah Harari,2011,9780062316097
History,"Guns, Germs, and Steel",Jared Diamond,1997,9780393354324
History,The Diary of a Young Girl,Anne Frank,1947,9780553296983
History,Killers of the Flower Moon,David Grann,2017,9780385534246
History,The Wager,David Grann,2023,9780385534260
History,The Devil in the White City,Erik Larson,2003,9780375725609
History,Nexus,Yuval Noah Harari,2024,9780593734247
History,The Splendid and the Vile,Erik Larson,2020,9780385348713
History,SPQR: A History of Ancient Rome,Mary Beard,2015,9781631492228
History,Unbroken,Laura Hillenbrand,2010,9780812974492
History,Homo Deus,Yuval Noah Harari,2015,9780062464316
History,The Guns of August,Barbara W. Tuchman,1962,9780345476098
History,Team of Rivals,Doris Kearns Goodwin,2005,9780743270755
History,Say Nothing,Patrick Radden Keefe,2018,9780385521314
History,The Silk Roads,Peter Frankopan,2015,9781101912379
History,Hidden Figures,Margot Lee Shetterly,2016,9780062363596
History,The Wright Brothers,David McCullough,2015,9781476728759
History,1776,David McCullough,2005,9780743226721
History,The Dawn of Everything,David Graeber and David Wengrow,2021,9780374157357
History,Band of Brothers,Stephen E. Ambrose,1992,9780743224543
Science,"Thinking, Fast and Slow",Daniel Kahneman,2011,9780374533557
Science,A Brief History of Time,Stephen Hawking,1988,9780553380163
Science,The Immortal Life of Henrietta Lacks,Rebecca Skloot,2010,9781400052189
Science,Cosmos,Carl Sagan,1980,9780345539434
Science,Why We Sleep,Matthew Walker,2017,9781501144318
Science,A Short History of Nearly Everything,Bill Bryson,2003,9780767908184
Science,The Selfish Gene,Richard Dawkins,1976,9780198788607
Science,Astrophysics for People in a Hurry,Neil deGrasse Tyson,2017,9780393609394
Science,The Gene: An Intimate History,Siddhartha Mukherjee,2016,9781476733524
Science,The Body: A Guide for Occupants,Bill Bryson,2019,9780385539302
Science,Braiding Sweetgrass,Robin Wall Kimmerer,2013,9781571313560
Science,An Immense World,Ed Yong,2022,9780593133231
Science,The Emperor of All Maladies,Siddhartha Mukherjee,2010,9781439107959
Science,Entangled Life,Merlin Sheldrake,2020,9780525510314
Science,The Code Breaker,Walter Isaacson,2021,9781982115852
Science,Brief Answers to the Big Questions,Stephen Hawking,2018,9781984819192
Science,Seven Brief Lessons on Physics,Carlo Rovelli,2014,9780399184413
Science,The Sixth Extinction,Elizabeth Kolbert,2014,9781250062185
Science,What If?,Randall Munroe,2014,9780544272996
Science,Silent Spring,Rachel Carson,1962,9780618249060
Self-Help,Atomic Habits,James Clear,2018,9780735211292
Self-Help,The 7 Habits of Highly Effective People,Stephen R. Covey,1989,9781982137274
Self-Help,How to Win Friends and Influence People,Dale Carnegie,1936,9780671027032
Self-Help,Deep Work,Cal Newport,2016,9781455586691
Self-Help,The Let Them Theory,Mel Robbins,2024,9781401971373
Self-Help,The Power of Habit,Charles Duhigg,2012,9780812981605
Self-Help,The Subtle Art of Not Giving a F*ck,Mark Manson,2016,9780062457714
Self-Help,Mindset,Carol S. Dweck,2006,9780345472328
Self-Help,Quiet,Susan Cain,2012,9780307352156
Self-Help,The Anxious Generation,Jonathan Haidt,2024,9780593655030
Self-Help,Four Thousand Weeks,Oliver Burkeman,2021,9780374159122
Self-Help,Essentialism,Greg McKeown,2014,9780804137386
Self-Help,Getting Things Done,David Allen,2001,9780143126560
Self-Help,Grit,Angela Duckworth,2016,9781501111105
Self-Help,Daring Greatly,Brené Brown,2012,9781592408412
Self-Help,The Four Agreements,Don Miguel Ruiz,1997,9781878424310
Self-Help,The Power of Now,Eckhart Tolle,1997,9781577314806
Self-Help,Slow Productivity,Cal Newport,2024,9780241652916
Self-Help,Stolen Focus,Johann Hari,2022,9780593138519
Self-Help,Can't Hurt Me,David Goggins,2018,9781544512273
Business,The Psychology of Money,Morgan Housel,2020,9780857197689
Business,The Lean Startup,Eric Ries,2011,9780307887894
Business,Zero to One,Peter Thiel and Blake Masters,2014,9780804139298
Business,Never Split the Difference,Chris Voss and Tahl Raz,2016,9780062407801
Business,Good to Great,Jim Collins,2001,9780066620992
Business,Freakonomics,Steven D. Levitt and Stephen J. Dubner,2005,9780060731335
Business,Start with Why,Simon Sinek,2009,9781591846444
Business,The Hard Thing About Hard Things,Ben Horowitz,2014,9780062273208
Business,Rich Dad Poor Dad,Robert T. Kiyosaki,1997,9781612680194
Business,Abundance,Ezra Klein and Derek Thompson,2025,9781668023501
Business,Measure What Matters,John Doerr,2018,9780525536222
Business,The Intelligent Investor,Benjamin Graham,1949,9780060555665
Business,Influence,Robert B. Cialdini,1984,9780061241895
Business,The Innovator's Dilemma,Clayton M. Christensen,1997,9780062060242
Business,Radical Candor,Kim Scott,2017,9781250103505
Business,High Output Management,Andrew S. Grove,1983,9780679762881
Business,Inspired,Marty Cagan,2017,9781119387503
Business,The Five Dysfunctions of a Team,Patrick Lencioni,2002,9780787960759
Business,Hooked,Nir Eyal,2014,9781591847786
Business,Built to Last,Jim Collins and Jerry I. Porras,1994,9780060516406
Technology,Clean Code,Robert C. Martin,2008,9780132350884
Technology,Designing Data-Intensive Applications,Martin Kleppmann,2017,9781449373320
Technology,The Pragmatic Programmer,David Thomas and Andrew Hunt,2019,9780135957059
Technology,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow",Aurélien Géron,2022,9781098125974
Technology,AI Engineering,Chip Huyen,2025,9781098166304
Technology,Python Crash Course,Eric Matthes,2023,9781718502703
Technology,Fluent Python,Luciano Ramalho,2022,9781492056355
Technology,Refactoring,Martin Fowler,2018,9780134757599
Technology,Co-Intelligence,Ethan Mollick,2024,9780593716717
Technology,Clean Architecture,Robert C. Martin,2017,9780134494166
Technology,Design Patterns,"Erich Gamma, Richard Helm, Ralph Johnson and John Vlissides",1994,9780201633610
Technology,A Philosophy of Software Design,John Ousterhout,2018,9781732102200
Technology,Grokking Algorithms,Aditya Bhargava,2016,9781617292231
Technology,Code Complete,Steve McConnell,2004,9780735619678
Technology,The Phoenix Project,"Gene Kim, Kevin Behr and George Spafford",2013,9780988262591
Technology,Accelerate,"Nicole Forsgren, Jez Humble and Gene Kim",2018,9781942788331
Technology,Site Reliability Engineering,"Betsy Beyer, Chris Jones, Jennifer Petoff and Niall Richard Murphy",2016,9781491929124
Technology,Deep Learning,"Ian Goodfellow, Yoshua Bengio and Aaron Courville",2016,9780262035613
Technology,Domain-Driven Design,Eric Evans,2003,9780321125217
Technology,Working Effectively with Legacy Code,Michael Feathers,2004,9780131177055
Technology,Team Topologies,Matthew Skelton and Manuel Pais,2019,9781942788812
Technology,Structure and Interpretation of Computer Programs,Harold Abelson and Gerald Jay Sussman,1996,9780262510875
Technology,Introduction to Algorithms,"Thomas H. Cormen, Charles E. Leiserson, Ronald L. Rivest and Clifford Stein",2009,9780262033848
Philosophy,Meditations,Marcus Aurelius,,9780812968255
Philosophy,Man's Search for Meaning,Viktor E. Frankl,1946,9780807014295
Philosophy,Sophie's World,Jostein Gaarder,1991,9780374530716
Philosophy,The Courage to Be Disliked,Ichiro Kishimi and Fumitake Koga,2013,9781501197277
Philosophy,The Republic,Plato,,9780140455113
Philosophy,Beyond Good and Evil,Friedrich Nietzsche,1886,9780140449235
Philosophy,The Obstacle Is the Way,Ryan Holiday,2014,9781591846352
Philosophy,The Myth of Sisyphus,Albert Camus,1942,9780525564454
Philosophy,The Prince,Niccolò Machiavelli,1532,9780140449150
Philosophy,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,1974,9780060839871
Philosophy,Letters from a Stoic,Seneca,,9780140442106
Philosophy,Thus Spoke Zarathustra,Friedrich Nietzsche,1883,9780140441185
Philosophy,Tao Te Ching,Lao Tzu,,9780061142666
Philosophy,Justice: What's the Right Thing to Do?,Michael J. Sandel,2009,9780374532505
Philosophy,The Story of Philosophy,Will Durant,1926,9780671739164
Philosophy,How to Think Like a Roman Emperor,Donald Robertson,2019,9781250196620
Philosophy,The Structure of Scientific Revolutions,Thomas S. Kuhn,1962,9780226458120
Philosophy,Nicomachean Ethics,Aristotle,,9780140449495
Philosophy,The Denial of Death,Ernest Becker,1973,9780684832401
Philosophy,The Second Sex,Simone de Beauvoir,1949,9780307277787
